"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-1.90428551346386,0.08,0.551,0,"0","CD3D"
0,-2.14650160311194,0.096,0.576,0,"0","TRAC"
0,-2.54132868789583,0.105,0.567,0,"0","IL32"
0,-2.89245328791574,0.236,0.806,0,"0","LTB"
5.04960257134054e-308,0.806216621904082,0.773,0.343,1.69353571037619e-303,"0","GLIPR2"
2.44328291154897e-307,0.788921588398873,0.722,0.29,8.19428222875294e-303,"0","THEMIS2"
5.34418486615428e-306,0.785927357429068,0.869,0.472,1.79233272041082e-301,"0","AP2S1"
1.42847391367694e-305,0.739975796011058,0.644,0.23,4.79081581168973e-301,"0","HEXB"
2.93621198112545e-305,0.648504604529716,0.555,0.158,9.84746774229853e-301,"0","PLXNB2"
4.85820015738797e-305,0.768665145619729,0.672,0.251,1.62934316878478e-300,"0","GNAQ"
4.9408777083711e-305,0.748751622246488,0.525,0.148,1.6570715658335e-300,"0","ABHD5"
1.92338773795677e-304,0.707591455508992,0.63,0.208,6.45065779555942e-300,"0","ALOX5"
5.44418909589291e-303,0.639866558802536,0.532,0.144,1.82587213898056e-298,"0","CEBPA"
9.3054674871506e-303,0.836190756215052,0.9,0.502,3.12086768584057e-298,"0","ANXA2"
1.01449965488879e-302,0.6699441224073,0.545,0.158,3.40242894256602e-298,"0","STX11"
8.70542951176845e-301,-1.42992742178781,0.089,0.539,2.9196269496569e-296,"0","CD69"
2.14374079352337e-300,0.570248054939831,0.406,0.085,7.18967787331866e-296,"0","LILRA6"
2.09326113154529e-299,0.605626870523741,0.469,0.117,7.02037918297658e-295,"0","IMPA2"
2.51157196725574e-299,0.655111202545586,0.535,0.154,8.42331006378231e-295,"0","AGO4"
4.25868364918605e-298,0.568044035265757,0.325,0.049,1.42827732226402e-293,"0","CYP27A1"
4.98978360088051e-297,1.06109449367853,0.474,0.118,1.67347362406331e-292,"0","IL1B"
2.16572809082939e-296,0.709693410066695,0.643,0.221,7.26341887102362e-292,"0","SYK"
3.82851555256504e-296,0.809512331130224,0.734,0.331,1.28400754601926e-291,"0","TMEM167A"
6.13535591911588e-296,0.703778018973991,0.975,0.823,2.05767566815308e-291,"0","GNAI2"
1.05899889233526e-294,0.670929871225086,0.54,0.158,3.551670485114e-290,"0","SLC43A2"
1.25340498011194e-294,0.552289374843804,0.376,0.073,4.20366962229943e-290,"0","MEFV"
2.40219136034839e-294,-1.06317838329888,0.08,0.531,8.05646938433643e-290,"0","TSTD1"
1.00789882484101e-293,-1.13976695256536,0.229,0.647,3.38029107875177e-289,"0","LY6E"
1.41124002905528e-293,-1.57723597176301,0.056,0.503,4.7330168094456e-289,"0","CD3G"
4.11409214467766e-293,-0.787665127734118,0.948,0.973,1.37978422348199e-288,"0","TOMM7"
1.15648365641828e-289,0.677668579545928,0.484,0.131,3.87861488689564e-285,"0","MOSPD2"
1.99063961934366e-289,0.6558536313573,0.547,0.167,6.67620715535478e-285,"0","ATP6V1A"
1.60683961585118e-288,0.78199813647893,0.745,0.324,5.3890187036417e-284,"0","QKI"
2.81066925301565e-288,0.716977625453925,0.571,0.183,9.42642254076388e-284,"0","BACH1"
2.86322649458781e-288,0.697384673751204,0.971,0.804,9.60268901754861e-284,"0","RHOA"
3.78120140140063e-288,0.752777402485886,0.736,0.32,1.26813932600174e-283,"0","C4orf48"
8.83976110359195e-287,0.580677499229058,0.458,0.115,2.96467907892267e-282,"0","SLC15A3"
1.58764420763758e-284,0.546982985503198,0.398,0.086,5.32464114357492e-280,"0","HK3"
2.22030005568564e-284,0.759735183629659,0.88,0.544,7.44644232675851e-280,"0","LAMTOR1"
5.9347636717396e-284,-2.38811469875608,0.082,0.519,1.99040104022803e-279,"0","IL7R"
3.8040455887274e-283,0.796771310060902,0.869,0.466,1.2758008095474e-278,"0","CARD16"
1.4415175375463e-282,0.433399524870015,0.265,0.03,4.83456151742278e-278,"0","FPR2"
8.80323477705536e-282,0.616895465989352,0.521,0.151,2.95242887952882e-277,"0","PAK1"
1.11114293563045e-281,0.669872997294931,0.909,0.454,3.72655117751742e-277,"0","EFHD2"
2.97807105451482e-281,-0.777018051800331,0.915,0.963,9.98785470263179e-277,"0","RPL31"
